condition,condition_key,trial,file,window_index,start_seconds,midpoint_seconds,video_repeat,eeg_exponent,eeg_r2,eeg_flag,model_flag,accepted_without_eog_screen,duration_seconds,blink_candidates,blink_rate_per_min,horizontal_saccades,horizontal_saccades_per_min,vertical_saccades,vertical_saccades_per_min,horizontal_direction_balance,vertical_direction_balance,horizontal_rms_uv,vertical_rms_uv,horizontal_drift_rms_uv,vertical_drift_rms_uv,horizontal_total_variation_uv_per_min,vertical_total_variation_uv_per_min
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,44,222.0,232.0,1.0,1.5553290801533652,0.7237580838666173,True,True,False,20.0,13,39.0,19,57.0,9,27.0,-0.1578947368421053,0.11111111111111116,324.7536151368054,156.19728351141515,242.2002426472117,75.91784966105321,65709.91413732096,64914.83271359262
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,48,242.0,252.0,1.0,-0.2045222451281428,0.5556337231625551,False,True,False,20.0,11,33.0,19,57.0,11,33.0,0.05263157894736842,-0.09090909090909088,463.5237397800916,138.69847895354923,389.3628499203045,68.45591640829916,80436.20418766973,61601.16848667692
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,52,262.0,272.0,1.0,0.8694963532825718,0.8840946587831751,False,False,True,20.0,11,33.0,15,45.0,4,12.0,0.06666666666666665,0.5,255.1236482298599,161.99375235828273,146.13620771478782,66.19331492345799,65756.77683426868,74579.84584793201
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,56,282.0,292.0,1.0,1.1095230333600374,0.5863515175721045,True,True,False,20.0,17,51.0,17,51.0,9,27.0,0.05882352941176472,-0.3333333333333333,444.9490471617095,182.05918966152933,323.25774046618653,91.44892706695943,90395.73669053307,87935.63334937982
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,60,302.0,312.0,1.0,1.4218443246515795,0.6858102097197978,True,True,False,20.0,13,39.0,27,81.0,15,45.0,-0.11111111111111116,0.19999999999999996,481.2481228719043,189.25787195839172,269.9047668353271,99.21474674501991,169354.01178005713,98784.68897232054
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,64,322.0,332.0,1.0,1.6281093899139358,0.7844850420595718,True,True,False,20.0,10,30.0,13,39.0,9,27.0,-0.07692307692307687,0.11111111111111116,347.00641767480784,144.7967930304477,274.35830122164253,69.26671777198483,70994.48461598714,63893.92755927662
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,68,342.0,352.0,1.0,1.695404316340086,0.8139067012927566,True,False,False,20.0,11,33.0,20,60.0,10,30.0,-0.10000000000000003,0.19999999999999996,386.69943358752585,165.6155471612354,278.23856519350306,71.30636946856504,95876.29596297038,72731.14382128444
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,72,362.0,372.0,1.0,1.2340921907198676,0.8824770508430412,False,False,True,20.0,7,21.0,45,135.0,19,57.0,0.11111111111111116,-0.2631578947368421,258.9635761536668,109.46392236298315,110.68777585571736,36.65347612232804,112530.33165010263,67961.2465939895
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,76,382.0,392.0,1.0,1.2572549785754912,0.8777612833976992,True,False,False,20.0,14,42.0,17,51.0,7,21.0,0.17647058823529416,-0.4285714285714286,287.261128756509,147.10619234816576,143.65952807537698,64.39449009442413,103470.18106648007,78182.31540967329
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,80,402.0,412.0,1.0,1.326324573613906,0.9120029101644688,False,False,True,20.0,8,24.0,23,69.0,15,45.0,0.13043478260869562,-0.19999999999999996,283.4501593089593,119.96911763147678,182.71223751059722,48.245014734302345,70643.21898199919,61052.17344101246
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,84,422.0,432.0,1.0,1.5418382235297865,0.7552181097157116,False,True,False,20.0,14,42.0,5,15.0,5,15.0,0.6000000000000001,-0.19999999999999996,319.93615168080163,149.53256374712709,236.79076577245138,55.02418945796161,51243.65292648914,71728.36021621825
